시군구,문화관광_검색건수
강릉시,600572
강원도 고성군,185797
동해시,77072
삼척시,98435
속초시,312257
양구군,38723
양양군,108899
영월군,134075
원주시,303518
인제군,59608
정선군,443762
철원군,125899
춘천시,659054
태백시,44386
평창군,289917
홍천군,746692
화천군,52687
횡성군,39401
가평군,234906
고양시,1855814
과천시,1186844
광명시,91590
광주시,261823
구리시,106476
군포시,71135
김포시,367860
남양주시,545559
동두천시,68695
부천시,560824
성남시,817234
수원시,1299993
시흥시,936971
안산시,894297
안성시,274627
안양시,347840
양주시,376105
양평군,199467
여주시,163723
연천군,97188
오산시,162097
용인시,1962837
의왕시,176610
의정부시,188528
이천시,246674
파주시,692923
평택시,674460
포천시,270995
하남시,533237
화성시,760251
거제시,359101
거창군,39667
경남 고성군,109328
김해시,297192
남해군,67223
밀양시,91239
사천시,74528
산청군,29077
양산시,221540
의령군,15305
진주시,131261
창녕군,77328
창원시,971306
통영시,144528
하동군,63851
함안군,99132
함양군,42353
합천군,94813
경산시,104456
경주시,770451
고령군,31277
구미시,161824
군위군,71861
김천시,39089
문경시,65097
봉화군,13259
상주시,61890
성주군,16142
안동시,85925
영덕군,101736
영양군,2692
영주시,48413
영천시,60603
예천군,36315
울릉군,32621
울진군,89510
의성군,17075
청도군,67795
청송군,15011
칠곡군,74345
포항시,396554
광주광역시 광산구,213570
광주광역시 남구,29850
광주광역시 동구,123972
광주광역시 북구,251023
광주광역시 서구,241763
대구광역시 남구,47115
대구광역시 달서구,356374
대구광역시 달성군,310269
대구광역시 동구,256115
대구광역시 북구,319056
대구광역시 서구,15008
대구광역시 수성구,241605
대구광역시 중구,218284
대전광역시 대덕구,42112
대전광역시 동구,86096
대전광역시 서구,189693
대전광역시 유성구,381737
대전광역시 중구,295716
부산광역시 강서구,223616
부산광역시 금정구,79246
부산광역시 기장군,509744
부산광역시 남구,213817
부산광역시 동구,26172
부산광역시 동래구,133299
부산광역시 부산진구,204679
부산광역시 북구,54791
부산광역시 사상구,105016
부산광역시 사하구,43302
부산광역시 서구,43127
부산광역시 수영구,61153
부산광역시 연제구,7303
부산광역시 영도구,83472
부산광역시 중구,70064
부산광역시 해운대구,607500
강남구,1649245
강동구,191445
강북구,88315
강서구,444090
관악구,79360
광진구,640084
구로구,169563
금천구,74845
노원구,193961
도봉구,70072
동대문구,54320
동작구,110662
마포구,829734
서대문구,177247
서초구,948479
성동구,455673
성북구,73261
송파구,1391835
양천구,205406
영등포구,740130
용산구,1097314
은평구,100073
종로구,867608
중구,487279
중랑구,100184
세종시,501939
울산광역시 남구,294670
울산광역시 동구,119510
울산광역시 북구,56071
울산광역시 울주군,149074
울산광역시 중구,184022
인천광역시 강화군,131339
인천광역시 계양구,200612
인천광역시 남동구,364270
인천광역시 동구,24085
인천광역시 미추홀구,243220
인천광역시 부평구,142292
인천광역시 서구,417215
인천광역시 연수구,808338
인천광역시 옹진군,5584
인천광역시 중구,282960
강진군,34367
고흥군,58506
곡성군,43510
광양시,61571
구례군,48897
나주시,85637
담양군,107815
목포시,221182
무안군,42652
보성군,30808
순천시,79061
신안군,44996
여수시,567768
영광군,67493
영암군,29560
완도군,25042
장성군,68532
장흥군,36458
진도군,47686
함평군,67636
해남군,88038
화순군,58215
고창군,51665
군산시,177773
김제시,39403
남원시,51061
무주군,97137
부안군,46670
순창군,24094
완주군,70620
익산시,163018
임실군,37599
장수군,7760
전주시,584390
정읍시,79157
진안군,29037
서귀포시,937748
제주시,841560
계룡시,34197
공주시,146501
금산군,22775
논산시,78071
당진시,419388
보령시,163487
부여군,119306
서산시,68871
서천군,70141
아산시,189846
예산군,42720
천안시,541628
청양군,27706
태안군,234324
홍성군,74130
괴산군,28639
단양군,200477
보은군,53018
영동군,18365
옥천군,51914
음성군,43962
제천시,65874
증평군,21273
진천군,43352
청주시,599880
충주시,168823
