시군구,숙박_검색건수
강릉시,1401723
강원도 고성군,898900
동해시,226408
삼척시,957572
속초시,1820922
양구군,30471
양양군,991136
영월군,260579
원주시,451513
인제군,189255
정선군,585777
철원군,84015
춘천시,623062
태백시,59835
평창군,890100
홍천군,2443167
화천군,48962
횡성군,239893
가평군,1311127
고양시,371163
과천시,13390
광명시,104558
광주시,277760
구리시,83180
군포시,33637
김포시,262270
남양주시,269686
동두천시,83407
부천시,167986
성남시,486713
수원시,700504
시흥시,217538
안산시,686317
안성시,151578
안양시,142298
양주시,180044
양평군,526467
여주시,219183
연천군,181454
오산시,148797
용인시,947488
의왕시,52333
의정부시,115340
이천시,241084
파주시,377449
평택시,445073
포천시,594889
하남시,96116
화성시,656112
거제시,665339
거창군,36646
경남 고성군,76291
김해시,194946
남해군,267552
밀양시,166215
사천시,105370
산청군,90126
양산시,245420
의령군,17048
진주시,245084
창녕군,85322
창원시,747107
통영시,422772
하동군,83975
함안군,16063
함양군,43373
합천군,74797
경산시,107121
경주시,1284801
고령군,15154
구미시,162404
군위군,24614
김천시,79898
문경시,137277
봉화군,23517
상주시,70095
성주군,52213
안동시,133537
영덕군,123991
영양군,4529
영주시,78972
영천시,68514
예천군,19884
울릉군,19952
울진군,170349
의성군,12209
청도군,114461
청송군,77247
칠곡군,76606
포항시,537854
광주광역시 광산구,217346
광주광역시 남구,30263
광주광역시 동구,65334
광주광역시 북구,95112
광주광역시 서구,218958
대구광역시 남구,35577
대구광역시 달서구,147272
대구광역시 달성군,56652
대구광역시 동구,238436
대구광역시 북구,127690
대구광역시 서구,36862
대구광역시 수성구,304769
대구광역시 중구,93186
대전광역시 대덕구,74484
대전광역시 동구,81835
대전광역시 서구,150618
대전광역시 유성구,452708
대전광역시 중구,79593
부산광역시 강서구,114263
부산광역시 금정구,25064
부산광역시 기장군,328682
부산광역시 남구,67112
부산광역시 동구,130449
부산광역시 동래구,99531
부산광역시 부산진구,234091
부산광역시 북구,48829
부산광역시 사상구,95922
부산광역시 사하구,32175
부산광역시 서구,74926
부산광역시 수영구,151015
부산광역시 연제구,54957
부산광역시 영도구,64952
부산광역시 중구,144848
부산광역시 해운대구,1142892
강남구,1664707
강동구,76353
강북구,115210
강서구,375767
관악구,79008
광진구,419946
구로구,158018
금천구,85321
노원구,41299
도봉구,36436
동대문구,62584
동작구,55412
마포구,393400
서대문구,135699
서초구,614928
성동구,37353
성북구,43334
송파구,588653
양천구,6403
영등포구,544929
용산구,555837
은평구,58739
종로구,415361
중구,1561240
중랑구,34347
세종시,127438
울산광역시 남구,240730
울산광역시 동구,69916
울산광역시 북구,63913
울산광역시 울주군,164678
울산광역시 중구,51526
인천광역시 강화군,494769
인천광역시 계양구,63853
인천광역시 남동구,202520
인천광역시 동구,7281
인천광역시 미추홀구,95081
인천광역시 부평구,85143
인천광역시 서구,110502
인천광역시 연수구,593482
인천광역시 옹진군,207999
인천광역시 중구,885818
강진군,28410
고흥군,62593
곡성군,26886
광양시,102804
구례군,110440
나주시,92762
담양군,104885
목포시,223594
무안군,60440
보성군,43231
순천시,168198
신안군,56091
여수시,926737
영광군,39090
영암군,67485
완도군,40581
장성군,46227
장흥군,18083
진도군,182730
함평군,15225
해남군,53397
화순군,50249
고창군,58480
군산시,322380
김제시,19269
남원시,167950
무주군,160259
부안군,243204
순창군,17418
완주군,146500
익산시,96853
임실군,11214
장수군,11657
전주시,574946
정읍시,55698
진안군,31173
서귀포시,2081259
제주시,1882727
계룡시,22826
공주시,188091
금산군,50973
논산시,83061
당진시,130344
보령시,435096
부여군,119637
서산시,145809
서천군,75900
아산시,225668
예산군,194824
천안시,549226
청양군,22331
태안군,1172010
홍성군,46979
괴산군,129561
단양군,252028
보은군,58116
영동군,23287
옥천군,29468
음성군,69524
제천시,453206
증평군,26536
진천군,97726
청주시,513257
충주시,303960
