시군구,자연관광_검색건수
강릉시,1026485
강원도 고성군,486495
동해시,281488
삼척시,473342
속초시,824086
양구군,22797
양양군,760987
영월군,42826
원주시,58534
인제군,189820
정선군,102360
철원군,111393
춘천시,250744
태백시,33102
평창군,58750
홍천군,117147
화천군,11864
횡성군,44512
가평군,361855
고양시,8130
과천시,14773
광명시,76065
광주시,394120
구리시,3
군포시,1321
김포시,226145
남양주시,112198
동두천시,42170
부천시,8161
성남시,8374
수원시,16969
시흥시,85507
안산시,101201
안성시,101783
안양시,2788
양주시,99848
양평군,112157
여주시,40171
연천군,93639
오산시,61886
용인시,104099
의왕시,35584
의정부시,2636
이천시,12346
파주시,129706
평택시,46014
포천시,459704
하남시,646
화성시,711044
거제시,372932
거창군,30683
경남 고성군,52501
김해시,24483
남해군,161356
밀양시,78132
사천시,95311
산청군,19129
양산시,71473
의령군,6806
진주시,60925
창녕군,39827
창원시,174474
통영시,108548
하동군,28038
함안군,4276
함양군,27612
합천군,50849
경산시,31642
경주시,184737
고령군,3706
구미시,15569
군위군,13884
김천시,22507
문경시,98619
봉화군,32578
상주시,35932
성주군,29422
안동시,11361
영덕군,311975
영양군,9760
영주시,14282
영천시,24454
예천군,6255
울릉군,38806
울진군,298672
의성군,16306
청도군,28114
청송군,119805
칠곡군,40276
포항시,608058
광주광역시 광주광역시 광산구,845
광주광역시 광주광역시 남구,679
광주광역시 광주광역시 동구,28
광주광역시 광주광역시 북구,348
광주광역시 광주광역시 서구,9272
대구광역시 대구광역시 달서구,76661
대구광역시 대구광역시 달성군,45285
대구광역시 대구광역시 동구,5324
대구광역시 대구광역시 북구,10187
대구광역시 대구광역시 수성구,126956
대전광역시 대전광역시 대덕구,13081
대전광역시 대전광역시 동구,38475
대전광역시 대전광역시 서구,130782
대전광역시 대전광역시 유성구,3764
대전광역시 대전광역시 중구,5157
부산광역시 부산광역시 강서구,78183
부산광역시 부산광역시 금정구,1233
부산광역시 부산광역시 기장군,232855
부산광역시 부산광역시 남구,87325
부산광역시 부산광역시 동구,45691
부산광역시 부산광역시 동래구,10
부산광역시 부산광역시 부산진구,103
부산광역시 부산광역시 북구,17328
부산광역시 부산광역시 사상구,163
부산광역시 부산광역시 사하구,161315
부산광역시 부산광역시 서구,129822
부산광역시 부산광역시 수영구,261818
부산광역시 부산광역시 영도구,5
부산광역시 부산광역시 중구,276
부산광역시 부산광역시 해운대구,539411
강북구,5433
관악구,9552
광진구,904
구로구,30254
금천구,34
노원구,1845
도봉구,2358
동대문구,2535
동작구,6
마포구,565
서대문구,1005
서초구,68665
성동구,1710
송파구,50945
양천구,26
영등포구,2384
용산구,46349
은평구,4797
종로구,5684
세종시,62684
울산광역시 울산광역시 남구,26013
울산광역시 울산광역시 동구,108422
울산광역시 울산광역시 북구,7939
울산광역시 울산광역시 울주군,235547
울산광역시 울산광역시 중구,197
인천광역시 인천광역시 강화군,519635
인천광역시 인천광역시 계양구,15554
인천광역시 인천광역시 남동구,132920
인천광역시 인천광역시 동구,11782
인천광역시 인천광역시 미추홀구,3755
인천광역시 인천광역시 부평구,17
인천광역시 인천광역시 서구,10944
인천광역시 인천광역시 연수구,7923
인천광역시 인천광역시 옹진군,210530
인천광역시 인천광역시 중구,570892
강진군,53629
고흥군,175344
곡성군,5670
광양시,36970
구례군,45318
나주시,12093
담양군,181928
목포시,64241
무안군,62334
보성군,61656
순천시,41070
신안군,77128
여수시,285036
영광군,44858
영암군,49083
완도군,97255
장성군,40442
장흥군,36270
진도군,83099
함평군,43144
해남군,36255
화순군,35596
고창군,100689
군산시,275727
김제시,39800
남원시,40386
무주군,40869
부안군,267466
순창군,54552
완주군,45022
익산시,5296
임실군,21562
장수군,14598
전주시,96291
정읍시,19347
진안군,76836
서귀포시,980453
제주시,1533116
계룡시,3918
공주시,55389
금산군,14759
논산시,72696
당진시,312953
보령시,405562
부여군,8857
서산시,261346
서천군,208444
아산시,93336
예산군,45808
천안시,45987
청양군,22611
태안군,1301124
홍성군,132826
괴산군,102818
단양군,100437
보은군,84777
영동군,39279
옥천군,27670
음성군,29371
제천시,138700
증평군,24653
진천군,42227
청주시,48938
충주시,126447
